Hotelname,Hotelid,Address,Cityname,Citycode,CountryCode,CountryName,Payment,Tel No.,FAX No.,Latitude,Longtitude,Star,# room,Email
City Hotel Mataram,WSASIDAMI000001,Jl Caturwarga No 36 B Mataram,Lombok,WSASIDLOP,WSASID,Indonesia,NONE,+62 370 638555,+62 370 638777,-8.5846419,116.107764,2,,
Amans Ambon Manise,WSASIDAMQ000001,Jl. Pantai Mardika No.53A,Ambon,WSASIDAMQ,WSASID,Indonesia,NONE,+62 911 353888 / 355888,+62 911 354492 / 354493,-3.688298399,128.1848073,3,,
Amaris Ambon,WSASIDAMQ000002,Jl. Diponegoro No. 82 - 84 Ambon,Ambon,WSASIDAMQ,WSASID,Indonesia,NONE,+62 911 348777,+62 911 342555,-3.7068937,128.1626039,2,,
Everbright Ambon,WSASIDAMQ000005,Jl. Cendrawasih No. 20 Ambon,Ambon,WSASIDAMQ,WSASID,Indonesia,NONE,+62 911 343699,+62 911 343698,-3.69126145,128.1872307,3,,
Swiss Belhotel Ambon,WSASIDAMQ000012,Jl. Benteng Kapaha No. 88,Ambon,WSASIDAMQ,WSASID,Indonesia,NONE,+62 911 322888,+62 911 322777,3.6947046,128.1832609,4,,
Stori Hotel Ambon,WSASIDAMQ000015,"Jl. Cendrawasih No.20, Kel Rijali, Sirimau, Kota A",Ambon,WSASIDAMQ,WSASID,Indonesia,NONE,+62 911 3821222,+62 911 343699,,,2,,
Biz Ambon,WSASIDAMQ000017,"Said Perintah 37 Ambon - Maluku, Pusat Kota Ambon",Ambon,WSASIDAMQ,WSASID,Indonesia,NONE,0911 382 11988,0911 3821 989,3.6973177,128.1816956,3,,
Amans Inn Ambon,WSASIDAMQ000019,"Jalan Pantai Mardika No. 53A, Kel Rijali, Sirimau",Ambon,WSASIDAMQ,WSASID,Indonesia,NONE,+62 911 353888,+ 62 911 354492,3.688415,128.1847,0,,
Budget Hotel Ambon,WSASIDAMQ000022,"Jl. Sirimau No. 12, Batumeja, Ambon, Kel Batu Meja",Ambon,WSASIDAMQ,WSASID,Indonesia,NONE,0851-0531-1311,0851-0531-1311,,,0,,
Aston Anyer Beach Hotel,WSASIDAYR000003,"Jl. Karang Bolong KM 139, Kp Kosambi, Desa Karang",Anyer,WSASIDAYR,WSASID,Indonesia,NONE,+62 254 8495060/082211488004,+62 254 8495070,,,3,,
Hawaii Resort Family Suites at Anyer Beach (formerly Hawaii A Club Bali Resort Anyer),WSASIDAYR000009,"Jl. Raya Labuan KM 146. Pondok Waru, Bulakan, Anyer",Anyer,WSASIDAYR,WSASID,Indonesia,NONE,+6221 7506708, ,-6.194908,105.839978,4,,
Marbella Hotel Convention and Spa Anyer,WSASIDAYR000011,"Jl. Raya Karang Bolong km 135, Desa Bandulu, Anyer Anyer",Anyer,WSASIDAYR,WSASID,Indonesia,NONE,+62 254 602345,+62 254 602346,-6.105985,105.881577,5,,
Nuansa Bali Anyer,WSASIDAYR000013,Jl. Raya Karang Bolong Km 133.5 Anyer,Anyer,WSASIDAYR,WSASID,Indonesia,NONE,+62 254 602236,+62 254 602237,,,3,,
Amaris Banjar,WSASIDBDJ000002,Jl. Ahmad Yani KM 7,Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 428 2818,+62 511 428 2808,-3.354359,114.629363,2,,
Aria Barito,WSASIDBDJ000004,Jl. Haryono MT No. 16 Banjarmasin,Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 3365001,+62 511 3365002,-3.322004,114.589292,4,,
Aston Banua Hotel and Convention Center Banjarmasin,WSASIDBDJ000006,"Grand Banua Jl. Jend. A. Yani Km 11,8",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 6745555,+62 511 4220466,-3.38088827,114.6494043,4,,
Blue Atlantic International Hotel,WSASIDBDJ000009,Jl. Pangeran Antasari No.18,Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 3271889,+62 511 3272909,-3.328819,114.60144,3,,
Favehotel Ahmad Yani Banjarmasin,WSASIDBDJ000011,Jl.Ahmad Yani Km.2 No.35,Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 6742777,+62 511 6742666,-3.323365,114.600409,3,,
Favehotel Banjarbaru,WSASIDBDJ000012,Jl Ahmad Yani Km.32.5 Loktabat Utara Banjarbaru Ut,Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 6749800 / 6749903 / 904,+62 511 6749808,-3.444757,114.810248,3,,
G Sign Hotel,WSASIDBDJ000014,"Jl. A. Yani Km. 4,5 No. 448 Banjarmasin",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 3271188/3276999,+62 511 3267621,-3.33912,114.619173,4,,
Golden Tulip Galaxy Banjarmasin,WSASIDBDJ000015,"Jl. A.Yani Km.2,5 No. 138,Banjarmasin",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 3277777 / +6281298716306,+62 511 3266777,-3.324611,114.601596,4,,
Palm Banjarmasin,WSASIDBDJ000019,"Jl. S.Parman No.189 Banjarmasin, Kalimantan Selatan",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 3353427 / 4366140 / 0812 1660 8882,+62 511 3355277,-3.307455,114.588148,3,,
Jelita Hotel,WSASIDBDJ000022,"Jl. Jend. A. Yani Km 2,5 No.44-46A Banjarmasin, South Kalimantan",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 7631122 / 3251122,+62 511 3251102,-3.32366,114.601436,3,,
Mercure Banjarmasin City Centre,WSASIDBDJ000025,Jl. Ahmad Yani KM 2 No.98,Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 3268888,+62 511 3265000,-3.322886,114.603574,4,,
Novotel Banjarmasin Airport,WSASIDBDJ000027,"Jl.Ahmad Yani Km.27 No.1A landasan Ulin Timur,Kota",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 4708461/+62 511 6730020,+62 511 6730043,-3.445296,114.765189,4,,
Rattan Inn Banjarmasin,WSASIDBDJ000031,"Jl. A. Yani KM. 5,7 South Kalimantan Banjarmasin",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 3267799 / 3267899,+62 511 3267699,-3.347178,114.622194,4,,
Roditha Banjarbaru,WSASIDBDJ000033," Loktabat Selatan, South Banjar Baru, Banjarbaru City, South Kalimantan",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 4772345 / 4777313 / 082253173456,+62 511 4788678,-3.439554,114.849751,3,,
Royal Jelita Banjarmasin,WSASIDBDJ000035,"Jl. Jend. A. Yani Km 4,5 No.2 Banjarmasin, Kalimantan Selatan",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 3262211 / 6412211,+62 511 3258889,-3.339789,114.618473,4,,
Swiss Belhotel Borneo Banjarmasin,WSASIDBDJ000040,"Jl. Pangeran Antasari No. 86 A, Banjarmasin",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 3271111,+62 511 3261369,-3.326741,114.59579,4,,
TreePark Banjarmasin,WSASIDBDJ000041,"Jl. Ahmad Yani KM 6, Banjarmasin",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 6742888,+62 511 6742858,-3.350663,114.626519,3,,
POP Hotel Banjarmasin,WSASIDBDJ000049,"Jl. H.Djok Mentaya No.50, Kertak Baru Ilir, Banjar",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 6723888,+62 511 6723888,-3.3246448,114.5865918,2,,
Pyramid Suites Banjarmasin,WSASIDBDJ000061,"Jl. Skip Lama No.8, Antasan Besar, Banjarmasin Ten",Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 0511 6775555,+62 0511 6775555,,,0,,
Best Western Kindai Banjarmasin,WSASIDBDJ000062,Jl Ahmad Yani KM 4.5 Banjarmasin,Banjarmasin,WSASIDBDJ,WSASID,Indonesia,NONE,+62 511 6775588,+62 511 6775588,,,0,,
Albis Hotel,WSASIDBDO000005,"Jl. Ciwidey, Rancabali KM 01 No.17., 49045 Rancaba",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 5927995,+62 22 5927996,-7.106761,107.456302,3,,
Alqueby Hotel,WSASIDBDO000006,"Jl. Terusan Jakarta Utara No. 7 Antapani, Kiaracon",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 87787485 / 87787486,+62 22 87787486,7.651179,107.651179,2,,
Amaris Cihampelas,WSASIDBDO000007,"Jl. Cihampelas No. 171, Sukajadi, 40131 Bandung, I",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 82062688,+62 22 82062689,-6.890258,107.603801,2,,
Amaris Cimanuk Bandung,WSASIDBDO000008,"Jl. Cimanuk No.14, Bandung Wetan, 46195 Bandung, I",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,(022) 4209985,+62 22 4209984,-6.904362,107.620709,2,,
Amaris Hotel Setiabudhi,WSASIDBDO000009,"Jl. Dr. Setiabudhi No. 156A, 40141 Bandung, Indone",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 8260 2090,+62 22 8260 2099,-6.873571,107.595771,2,,
Amaroossa Bandung,WSASIDBDO000010,"Jl. Aceh no 71A, Sumurbandung, 40115 Bandung, Indo",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4222221,+62 22 4222223,-6.908526,107.618387,4,,
Andelir Bandung,WSASIDBDO000012,Jl. Prof Eyckman 19-21 Cihampelas,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2034222,+62 22 2036789,-6.896091,107.601133,2,,
Ardan Hotel Bandung,WSASIDBDO000016,"Jl. Sederhana No. 8-10, Sukajadi, 40161 Bandung, I",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,(022) 2031536,022 203 6981,-6.893722,107.599013,3,,
Arion Swiss Belhotel Bandung,WSASIDBDO000020,"Jl. Otto Iskandardinata No.16, 40171 Bandung, Indo",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4240000,+62 22 4266280,-6.913081,107.604357,4,,
Aryaduta Bandung (Formerly Hyatt Regency Bandung),WSASIDBDO000022,"Jalan Sumatera No. 51, 40014 Bandung, Indonesia PO Box 143",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4211234,+62 22 4210380,-6.909261,107.611789,5,,
Asmila Boutique Bandung,WSASIDBDO000023,"Jl. Dr. Setiabudhi no. 54, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 82066222,+62 22 82066223,-6.882122,107.600065,3,,
Aston Braga Hotel and Residence,WSASIDBDO000025,"Jl Braga 99 - 101, Bandung, Indonesia",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 84460000,+62 22 84460100,-6.917125,107.608252,4,,
Aston Pasteur Bandung (Formerly Harper Pasteur Bandung),WSASIDBDO000026,"Jl. Dr. Djunjunan 162, Bandung, Indonesia",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 82000 777,+62 22 82000 777,-6.89361,107.587268,4,,
Aston Tropicana Hotel Bandung,WSASIDBDO000027,"Jl. Cihampelas 125-127, Sukajadi, Bandung Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2030101,+62 22 2036622,-6.896436,107.603599,4,,
Atlantic City,WSASIDBDO000028,"Jl. Pasirkaliki No.126, Bandung, Indonesia",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4208222,+62 22 4205677,-6.906929,107.59796,3,,
Bali World,WSASIDBDO000031,"Jl. Soekarno Hatta No.713, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 7332088,+62 22 7309402,-6.938446,107.663236,3,,
Banana Inn and Spa Bandung,WSASIDBDO000033,"Jl. Setiabudhi No.191, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2005479,+62 22 2005489,-6.867097,107.59329,4,,
Bandung Giri Gahana Golf and Resort,WSASIDBDO000034,"Jl. Raya Jatinangor Desa Cikeruh Km 20 Sumedang, 4",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 7798401,+62 22 7798135,-6.917735,107.765738,3,,
Best Western Premier La Grande,WSASIDBDO000037,Jl. Merdeka No. 25-29 Bandung,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 42690555,+62 22 42690550,-6.909084,107.610499,4,,
BTC Hotel Bandung,WSASIDBDO000040,Jl. Dr. Djundjunan No. 143-149 Bandung 40173,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 88885151,+62 22 88885152,-6.893263,107.585079,2,,
California Bandung,WSASIDBDO000045,Jl. Wastukencana 48 Bandung,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4268588,+62 22 4268582,-6.903818,107.60526,3,,
Chara Hotel Bandung,WSASIDBDO000051,"Jl. Gatot Subroto No.31, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,022 - 731 1817 / 022 - 731 1405,+62 22 7301617,-6.92248,107.619626,3,,
Cihampelas Hotel 1,WSASIDBDO000053,"Jl. Cihampelas No. 240, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2033425,+62 22 2037281,-6.889051,107.604169,2,,
Cihampelas Hotel 2,WSASIDBDO000054,Jl. Cihampelas No. 222,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2043695 / 2035374,+62 22 2032998,-6.890117778,107.6043141,3,,
Cinnamon Hotel Boutique Syariah,WSASIDBDO000056,Jalan Dr Setiabudi No 300. Bandung,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 86010 500,+62 22 2017 370,-6.858609,107.595213,3,,
The Cipaku Garden Bandung,WSASIDBDO000057,Jl. Cipaku Indah XI/2,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2010221,+62 22 2010223,-6.860336,107.600872,3,,
Citradream Hotel Bandung,WSASIDBDO000060,"Jl. Pasir Kaliki No. 36 - 40, Pusat Kota Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 84281111,+62 22 8428111,-6.911818,107.598185,2,,
Clove Garden Hotel And Residence,WSASIDBDO000061,Jalan Awiligar Raya 2 Bandung,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,022-82526363,022-82526262,-6.873078,107.642619,4,,
Crowne Plaza Bandung,WSASIDBDO000063,Jalan Lembong No. 19,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 30002500,+62 22 30002550,-6.917143,107.612012,5,,
The Crystal Luxury Bay Resort Nusa Dua,WSASIDBDO000064,"Jalan By Pass I Gusti Ngurah Rai No. 88, , N Nusa Dua",Bali,WSASIDDPS,WSASID,Indonesia,NONE,+62 361 472 8888,+62 361 472 8777,-8.787086,115.207296,5,,
d Batoe Boutique Bandung,WSASIDBDO000065,Jl. Pasirkaliki 78,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4266466,+62 22 4266465,,,3,,
d Best Hotel Bandung,WSASIDBDO000066,"Jl. Otto Iskandardinata 460, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 5228899,+62 22 5223999,-6.929751,107.603316,3,,
Dafam Rio Bandung,WSASIDBDO000070,"Jl. RE. Martadinata (Riau) No. 160, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 87243460,+62 22 87243463,-6.914189,107.629381,2,,
Dago Highland Resort,WSASIDBDO000072,Jl. Bukit Pakar Timur IV No. 88,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2508080,+62 22 2515495,,,3,,
De Batara,WSASIDBDO000074,"Jl. Cihampelas No.112 Bandung - West Java, Indon",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2030055,+62 22 2039225,-6.898203,107.604268,3,,
de JAVA Hotel Bandung,WSASIDBDO000076,Jl. Sukajadi No. 148-150,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,(022) 2039888,+62 22 2044188,-6.888916,107.597222,4,,
De Rain Hotel Bandung,WSASIDBDO000079,Jalan Lengkong Kecil 76 - 80,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 8780 4800,+62 22 87804801,-6.923733,107.616495,3,,
Dulang Resort and Resto,WSASIDBDO000082,JL. Sukanagara Desa pagerwangi Lembang-Bandung Bar,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2785020,+62 22 2785020,-6.830812672,107.6326972,1,,
El Cavana Hotel,WSASIDBDO000083,"Jl. Stasiun Barat No. 25 - 27 , Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4266226,+62 22 4266227,-6.914875,107.599052,4,,
Endah Parahyangan,WSASIDBDO000084,Jl. Raya Cibeureum No. 14,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 6034 934,+62 22 6034 936,-6.908522,107.568075,3,,
Fabu Hotel Bandung,WSASIDBDO000087,Jl. Kebonjati No. 32,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4224597,+62 22 422 4598,-6.916073,107.600979,3,,
Favehotel Braga,WSASIDBDO000088,"Jl.Braga No.99-101, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 84468222,NULL,-6.917009,107.608004,3,,
Favehotel Hyper Square Bandung,WSASIDBDO000090,"Paskal Hyper Square Jl. Pasir Kaliki No.25 - 27, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 87786333,+62 22 87786300,-6.914748,107.595782,3,,
Favehotel Premier Cihampelas,WSASIDBDO000091,"Premier Plaza Jl. Cihampelas 129, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2030300,+62 22 2030800,-6.896157,107.603444,3,,
Four Points by Sheraton Bandung,WSASIDBDO000093,"Jl. Ir. H. Juanda No.46, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 87330330,+62 22 87330331,-6.901336,107.612252,4,,
Galeri Ciumbuleuit and Apartment,WSASIDBDO000096,"Jl. Ciumbuleuit No. 42A, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 82062000,+62 22 82062005,-6.880868,107.604909,4,,
Garden Permata Bandung,WSASIDBDO000099,"Jl Lemah Nendeut No 7 Setrasari, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 201 1000,+62 22 201 5667,-6.883217,107.579696,4,,
GH Universal Bandung,WSASIDBDO000101,Jl. Setiabudi No. 376,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2010388,+62 22 2014525,-6.850517,107.598018,5,,
Gino Feruci Braga Bandung,WSASIDBDO000103,Jl. Braga No. 67,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,(+62) 22 420 00 99,(+62) 22 420 11 99,-6.917814,107.608904,4,,
Gino Feruci Kebon Jati Bandung,WSASIDBDO000104,Jl. Kebon Jati No. 71-75,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 424 8000,+62 22 4232800,-6.917814,107.608904,4,,
Golden Flower Bandung,WSASIDBDO000105,Jl. Asia Afrika No. 15-17,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4239999,+62 22 4209889,-6.920499,107.604819,4,,
Grand Aquila Bandung,WSASIDBDO000107,"Jl. Dr. Djundjunan No.116, Pasteur, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2039280,+62 22 2039282,-6.895042,107.589735,5,,
Grand Asrilia Hotel Convention and Restaurant,WSASIDBDO000108,Jl. Pelajar Pejuang ‘45 No. 123.,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 73514 111,+62 22 73514100,"-6.9365416,",107.6231438,4,,
Grand Cordela Bandung,WSASIDBDO000109,Jl. Soekarno Hatta No. 791B Gede Bage Bandung,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 8788 3788,+62 22 8788 3788,-6.937085,107.687803,3,,
Grand Guci Bandung,WSASIDBDO000110,Jl. Pasirkaliki 53-55,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 6015053,+62 22 6042380,,,3,,
Grand Lembang,WSASIDBDO000111,"Jl. Raya Lembang 272, Lembang, Bandung",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2786671,+62 22 2786829 / +62 22 2786010,-6.816187,107.61513,3,,
LJ Hotel Bandung,WSASIDBDO000112,"Jalan Malabar No.2, Lengkong, Bandung, Jawa Barat,",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,(022) 7323666,(022) 7323666,-6.919406,107.624147,3,,
Grand Pacific Bandung,WSASIDBDO000113,Jl. Pasirkaliki 100,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4221100,+62 22 4218100,-6.908863,107.598209,3,,
Grand Paradise Hotel,WSASIDBDO000114,Jl. Raya Tangkuban Perahu No. 50,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2789198,+62 22 2789177,-6.810458165,107.62501,4,,
Grand Pasundan Convention,WSASIDBDO000115,Jl. Peta No.147 -149 Lingkar Selatan,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 6043135,+62 22 6041667,-6.936569,107.593405,4,,
El Royale Hotel Bandung (Formerly Grand Royal Panghegar),WSASIDBDO000116,Jl. Merdeka No. 2,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4232286,+62 22 4231583,-6.915796,107.610619,4,,
Grand Serela Setiabudhi Bandung,WSASIDBDO000117,Jl. Hegarmanah No. 9-15,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2041680,+62 22 2041681,-6.880984,107.601206,4,,
Grand Setiabudi Hotel and Apartment,WSASIDBDO000118,Jl. Dr. Setiabudi No. 130 - 134,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2044002,+62 22-204-4005,-6.874992,107.596942,4,,
Grand Tebu,WSASIDBDO000120,Jl. L.L.R.E Martadinata Sumurbandung,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 20521000,+62 22 20521000,-6.913011,107.62907,4,,
Grand Tjokro Bandung (Formerly H Clarity Cihampelas),WSASIDBDO000121,Jl. Cihampelas 211-217,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 8202 1220,+62 22 8202 1213,-6.886272,107.603887,4,,
Grandia Hotel,WSASIDBDO000122,Jl. Cihampelas No. 80 - 82,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 42690111,+62 22 42690222,-6.900844,107.604473,4,,
The Green Forest Resort Bandung,WSASIDBDO000123,Jl. Sersan Bajuri no. 102 Cihideung,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 70357000 / 278 7939,+62 22 2787790,-6.822666,107.597606,4,,
Grha Ciumbuleuit Guest House Bandung,WSASIDBDO000124,Jl. Ciumbuleuit 156,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2031035,+62 22 2040173,-6.866613,107.606316,3,,
Gumilang Regency,WSASIDBDO000125,"Jl. Dr. Setiabudhi No. 323 - 325, Setiabudhi, Band",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2012618,+62 22 2012612,-6.84594,107.599349,3,,
Harris and Conventions Festival CTLink Bandung,WSASIDBDO000127,Jl. Peta 241 Kopo,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 6128600,+62 22 6128601,-6.930127,107.586936,4,,
Harris Hotel and Convention Ciumbuleuit,WSASIDBDO000128,Jl. Ciumbuleuit No. 50-58 Sukajadi,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22- 82068222,+62 22 82068333,-6.880748,107.60418,4,,
Hemangini,WSASIDBDO000129,Jl. Setiabudhi No. 66 Sukajadi,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 2032110,+62 22 82068666,-6.880685,107.599135,3,,
Hilton Bandung,WSASIDBDO000131,HOS Tjokroaminoto No. 41-43,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 86066888,+62 22 86066999,-6.912888,107.597695,5,,
Courtyard by Marriot Bandung Dago (Formerly Holiday Inn Bandung Dago),WSASIDBDO000132,Jl. Ir. H. Juanda 31-33,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 4211333,+62 22 4216666,-6.904087,107.610387,4,,
Horison Ultima Bandung,WSASIDBDO000133,Jl. Pelajar Pejuang 45 No.121,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 7305000,+62 22 7310993 / 7304711,-6.935501,107.625534,4,,
Hotel 88 Bandung Kopo,WSASIDBDO000135,"Jl. Raya Kopo No.459 Cirangrang, Babakan Ciparay",Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 54410688,+62 22 54410688,-6.951786,107.585738,2,,
House Sangkuriang,WSASIDBDO000138,Jl. Sangkuriang No.1 Kecamatan Coblong,Bandung,WSASIDBDO,WSASID,Indonesia,NONE,+62 22 87832323,+62 22 87832322,-6.884627,107.611795,3,,
